	Exigl1_AssemblyScaffolds.fasta
GF00000144	scaffold_441, scaffold_806, scaffold_1614, scaffold_1698
GF00000145	scaffold_704, scaffold_769, scaffold_472, scaffold_1477
GF00000146	scaffold_135, scaffold_114, scaffold_637, scaffold_1663
GF00000147	scaffold_359, scaffold_295, scaffold_888, scaffold_1671
GF00000148	scaffold_482, scaffold_895, scaffold_994, scaffold_1559
GF00000149	scaffold_362, scaffold_733, scaffold_1022, scaffold_1262
GF00000150	scaffold_293, scaffold_783, scaffold_723, scaffold_1027
GF00000151	scaffold_395, scaffold_648, scaffold_799, scaffold_966
GF00000152	scaffold_567, scaffold_670, scaffold_1320, scaffold_1458
GF00000153	scaffold_21, scaffold_660, scaffold_1459
GF00000154	scaffold_19, scaffold_400, scaffold_634
GF00000155	scaffold_49, scaffold_549, scaffold_699
GF00000156	scaffold_81, scaffold_377, scaffold_348
GF00000157	scaffold_94, scaffold_1104, scaffold_1640
GF00000158	scaffold_116, scaffold_1203, scaffold_1274
GF00000159	scaffold_169, scaffold_710, scaffold_1340
GF00000160	scaffold_166, scaffold_299, scaffold_1197
GF00000161	scaffold_42, scaffold_409, scaffold_669
GF00000162	scaffold_250, scaffold_688, scaffold_889
GF00000163	scaffold_7, scaffold_998, scaffold_1504
GF00000164	scaffold_332, scaffold_643, scaffold_951
GF00000165	scaffold_123, scaffold_197, scaffold_673
GF00000166	scaffold_55, scaffold_174, scaffold_375
GF00000167	scaffold_132, scaffold_175, scaffold_770
GF00000168	scaffold_124, scaffold_824, scaffold_1536
GF00000169	scaffold_149, scaffold_1285, scaffold_1408
GF00000170	scaffold_210, scaffold_628, scaffold_473
GF00000171	scaffold_107, scaffold_928, scaffold_1324
GF00000172	scaffold_513, scaffold_725, scaffold_1305
GF00000173	scaffold_66, scaffold_605, scaffold_1008
GF00000174	scaffold_259, scaffold_158, scaffold_700
GF00000175	scaffold_80, scaffold_600, scaffold_1181
GF00000176	scaffold_182, scaffold_402, scaffold_1529
GF00000177	scaffold_144, scaffold_536, scaffold_1584
GF00000178	scaffold_258, scaffold_894, scaffold_1055
GF00000179	scaffold_263, scaffold_283, scaffold_1269
GF00000180	scaffold_372, scaffold_1041, scaffold_1120
GF00000181	scaffold_668, scaffold_596, scaffold_490
GF00000182	scaffold_535, scaffold_1239, scaffold_1335
GF00000183	scaffold_443, scaffold_1317, scaffold_1370
GF00000184	scaffold_383, scaffold_790, scaffold_1528
GF00000185	scaffold_224, scaffold_1452, scaffold_1453
GF00000186	scaffold_267, scaffold_476, scaffold_1000
GF00000187	scaffold_521, scaffold_1611, scaffold_1727
GF00000188	scaffold_423, scaffold_1010, scaffold_919
GF00000189	scaffold_458, scaffold_338, scaffold_333
GF00000190	scaffold_369, scaffold_488, scaffold_780
GF00000191	scaffold_672, scaffold_757, scaffold_1519
GF00000192	scaffold_393, scaffold_827, scaffold_1230
GF00000193	scaffold_407, scaffold_418, scaffold_985
GF00000194	scaffold_584, scaffold_689, scaffold_918
GF00000195	scaffold_973, scaffold_1510, scaffold_1638
GF00000196	scaffold_612, scaffold_638, scaffold_1344
GF00000197	scaffold_593, scaffold_1298, scaffold_972
GF00000198	scaffold_390, scaffold_1095, scaffold_1674
GF00000199	scaffold_706, scaffold_1270, scaffold_1330
